County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Barnstable,32,42,51,76,77,77,90,110,116,127,144
Berkshire,394,402,334,347,306,308,345,364,299,293,322
Bristol,184,173,196,200,170,177,227,213,213,184,220
Dukes,1,0,0,0,5,2,1,4,4,7,11
Essex,114,148,152,134,119,140,154,144,119,130,196
Franklin,424,454,413,398,370,407,469,482,441,425,423
Hampden,189,161,170,185,176,162,194,228,202,154,192
Hampshire,235,242,234,226,182,221,226,245,208,207,241
Middlesex,143,179,167,173,167,171,201,217,240,233,311
Norfolk,74,67,70,74,61,60,70,96,75,72,102
Plymouth,260,257,233,235,208,217,217,256,264,229,240
Worcester,706,719,700,730,669,686,769,820,784,679,835
Total,2756,2844,2720,2778,2510,2628,2963,3179,2965,2740,3237
